sample,fastq_1,fastq_2,input_bam,entrypoint,platform,assay,datatype,pair,concatemer,read_type,enrichment
ERR11838731,/data1/users/siyangming/PlanteccDNADB/eccDNA/Oryza_sativa/ERR11838731.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,,false,hifi,none
ERR12724336,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724336.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,,true,ont,other
ERR12724337,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724337.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724338,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724338.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724339,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724339.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724340,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724340.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724341,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724341.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724342,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724342.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724343,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724343.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724344,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724344.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724345,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724345.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724346,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724346.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724347,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724347.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724348,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724348.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724349,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724349.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724350,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724350.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724351,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724351.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724352,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724352.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724353,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724353.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724354,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724354.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724355,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724355.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724356,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724356.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724357,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724357.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724358,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724358.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724359,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724359.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724360,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724360.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724361,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724361.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724362,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724362.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724363,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724363.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724364,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724364.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724365,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724365.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724366,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724366.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724367,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724367.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724368,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724368.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724369,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724369.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724370,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724370.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724371,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724371.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724372,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724372.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724373,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724373.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724374,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724374.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724375,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724375.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724376,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724376.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724377,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724377.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724378,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724378.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724379,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724379.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724380,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724380.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724381,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724381.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724382,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724382.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724383,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724383.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724384,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724384.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724385,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724385.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724386,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724386.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724387,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724387.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724388,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724388.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724389,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724389.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724390,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724390.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724391,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724391.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724392,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724392.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724393,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724393.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724394,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724394.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724395,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724395.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724396,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724396.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724397,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724397.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724398,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724398.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724399,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724399.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724400,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724400.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724401,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724401.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724402,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724402.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724403,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724403.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724404,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724404.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724405,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724405.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724406,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724406.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724407,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724407.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724408,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724408.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724409,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724409.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724410,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724410.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724411,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724411.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724412,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724412.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR12724413,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724413.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR6326020,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR6326020.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,,true,ont,other
ERR6326021,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR6326021.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB46420,true,ont,other
SRR16958684,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958684.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958685,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958685.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958686,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958686.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958687,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958687.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958688,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958688.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958689,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958689.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958690,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958690.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958691,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958691.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
